nama;tipe;koord
Bandung;city;107.6191228 -6.9174639
Banjar;city;108.5342487 -7.3706874
Bekasi;city;106.9830865 -6.2733758
Bogor;city;106.8060388 -6.5971469
Cimahi;city;107.5413039 -6.8840816
Cirebon;city;108.5523164 -6.7320229
Depok;city;106.7942405 -6.4024844
Sukabumi;city;106.9240554 -6.9434509
Tasikmalaya;city;108.214028 -7.3788186
Depok - Antasari;toll;106.783429 -6.395267,106.782688 -6.389023,106.784461 -6.383715,106.787342 -6.377658,106.789333 -6.367025,106.788810 -6.356789,106.792622 -6.347458,106.798938 -6.342578,106.799477 -6.340641,106.799849 -6.332997,106.803615 -6.319857,106.803800 -6.315251
Cinere Jagorawi;toll;106.819526 -6.371630,106.838962 -6.378930,106.846613 -6.378769,106.854399 -6.379521,106.872954 -6.382206,106.887146 -6.385011,106.895689 -6.387698,106.902538 -6.388724
Jagorawi;toll;106.854524 -6.526735,106.860639 -6.516389,106.872656 -6.485123,106.891897 -6.447068,106.896543 -6.425686,106.898550 -6.406046,106.895590 -6.391264,106.896437 -6.376148,106.895558 -6.370762
Lkr Bogor;toll;106.854524 -6.526735,106.851933 -6.534592,106.850751 -6.542545,106.847855 -6.551197,106.844401 -6.561316,106.843066 -6.565286,106.841318 -6.564662,106.836315 -6.564393,106.834294 -6.564872,106.828601 -6.568970,106.826359 -6.569678,106.819030 -6.569438,106.806230 -6.561180,106.804823 -6.561131,106.797943 -6.562656,106.784550 -6.558781,106.776443 -6.553994,106.767894 -6.534102
Jagorawi;toll;106.843066 -6.565286,106.831681 -6.599241,106.831483 -6.604437,106.831903 -6.613199,106.837629 -6.628189,106.841520 -6.635132,106.847689 -6.644001,106.848588 -6.649979,106.848047 -6.652024,106.846907 -6.653547,106.846035 -6.654162
